date,macd,ma5,roc,rsi,clicks,decision
1494511200,6.09615384615,26.6,0.434782608696,1100.0,33,1.0
1494514800,5.45512820513,26.8,-0.16,-1375.0,21,-1.0
1494518400,5.41025641026,24.8,-0.619047619048,-366.666666667,8,-1.0
1494522000,4.51282051282,19.2,-0.8,-265.0,5,-1.0
1494525600,2.51282051282,14.4,-0.857142857143,-331.25,5,0.0
1494529200,1.5,8.6,-0.777777777778,-233.333333333,4,-1.0
1494532800,-1.45512820513,5.0,-0.921052631579,-121.875,3,-1.0
1494536400,-3.37179487179,4.0,-0.884615384615,-260.0,3,0.0
1494540000,-4.64102564103,4.6,-0.6,-80.0,8,1.0
1494543600,-5.40384615385,6.2,-0.277777777778,-223.076923077,13,1.0
1494547200,-6.85256410256,8.8,-0.484848484848,-1100.0,17,1.0
1494550800,-7.94230769231,11.2,-0.48275862069,-1100.0,15,-1.0
1494554400,-8.40384615385,16.0,-0.181818181818,-500.0,27,1.0
1494558000,-8.20512820513,18.8,0.047619047619,-428.571428571,22,-1.0
1494561600,-7.35897435897,19.0,0.75,-136.842105263,14,-1.0
1494565200,-6.27564102564,18.0,1.4,-288.888888889,12,-1.0
1494568800,-5.4358974359,17.0,1.0,1300.0,10,-1.0
1494572400,-4.08974358974,14.8,3.0,290.909090909,16,1.0
1494576000,-2.32051282051,13.4,4.0,320.0,15,-1.0
1494579600,-1.11538461538,14.0,4.66666666667,261.538461538,17,1.0
1494583200,0.262820512821,14.2,0.625,340.0,13,-1.0
1494586800,1.03205128205,16.0,0.461538461538,250.0,19,1.0
1494590400,1.32692307692,17.0,0.235294117647,284.615384615,21,1.0
1494594000,1.57692307692,17.6,0.2,640.0,18,-1.0
1494597600,1.71794871795,19.2,-0.0740740740741,437.5,25,1.0
1494601200,1.98717948718,21.0,0.0,500.0,22,-1.0
1494604800,2.49358974359,19.0,-0.357142857143,-127.777777778,9,-1.0
1494608400,2.66025641026,16.4,-0.333333333333,-164.285714286,8,-1.0
1494612000,2.44871794872,14.2,-0.3,-328.571428571,7,-1.0
1494615600,1.53205128205,10.2,-0.6875,-328.571428571,5,-1.0
1494619200,0.519230769231,6.0,-0.933333333333,-255.555555556,1,-1.0
1494622800,-0.608974358974,4.8,-0.823529411765,-146.153846154,3,1.0
1494626400,-1.26282051282,4.6,-0.461538461538,-287.5,7,1.0
1494630000,-2.14743589744,5.8,-0.315789473684,-675.0,13,1.0
1494633600,-2.96153846154,7.6,-0.333333333333,2800.0,14,1.0
1494644400,-2.88461538462,12.2,0.333333333333,640.0,24,1.0
1494648000,-3.28205128205,16.2,-0.08,1500.0,23,-1.0
1494651600,-3.59615384615,19.0,-0.0454545454545,1000.0,21,-1.0
1494655200,-2.45512820513,20.2,1.11111111111,-383.333333333,19,-1.0
1494658800,-1.33333333333,21.6,1.625,-2500.0,21,1.0
1494662400,-0.346153846154,21.4,2.28571428571,192.857142857,23,1.0
1494666000,0.326923076923,19.6,1.8,450.0,14,-1.0
1494669600,1.57051282051,19.6,20.0,242.857142857,21,1.0
1494673200,2.78846153846,19.6,5.33333333333,242.857142857,19,-1.0
1494676800,3.58974358974,19.0,1.57142857143,200.0,18,-1.0
1494680400,3.96794871795,18.0,0.384615384615,213.333333333,18,0.0
1494684000,4.37820512821,20.0,0.714285714286,200.0,24,1.0
1494687600,4.00641025641,19.8,-0.166666666667,400.0,20,-1.0
1494691200,3.79487179487,20.0,-0.130434782609,450.0,20,0.0
1494694800,3.32051282051,19.0,-0.380952380952,-154.545454545,13,-1.0
1494698400,2.96794871795,16.6,-0.684210526316,-100.0,6,-1.0
1494702000,2.24358974359,12.6,-0.809523809524,-100.0,4,-1.0
1494705600,0.762820512821,9.0,-0.913043478261,-100.0,2,-1.0
1494709200,0.173076923077,6.2,-0.571428571429,-126.666666667,6,1.0
1494712800,-0.99358974359,5.0,-0.666666666667,-112.5,7,1.0
1494716400,-1.75641025641,6.6,-0.263157894737,-inf,14,1.0
1494720000,-2.36538461538,9.6,0.0555555555556,-1150.0,19,1.0
1494723600,-3.03205128205,12.4,-0.111111111111,-766.666666667,16,-1.0
1494727200,-3.82051282051,15.4,-0.125,933.333333333,21,1.0
1494730800,-4.3141025641,17.0,-0.25,-933.333333333,15,-1.0
1494734400,-4.58974358974,18.0,-0.05,-520.0,19,1.0
1494738000,-3.94230769231,17.8,0.384615384615,-1300.0,18,-1.0
1494741600,-2.52564102564,19.2,2.83333333333,1033.33333333,23,1.0
